scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,url,user_login,positional_accuracy,geoprivacy,captive_cultivated,genus,id,flowering
Corymbia torelliana,2019-11-20 16:20:00 +1000,"Large tree, likely spread from nearby planted park trees.","Beerwah QLD 4519, Australia",-26.851686,152.957458,,https://www.inaturalist.org/observations/35913873,mmmr91,NA,,FALSE,Corymbia,35913873,0
Corymbia torelliana,2019-11-21 22:05:54 +1000,,"Gannawarra Street, Currimundi, QLD, AU",-26.76592344,153.1232422,,https://www.inaturalist.org/observations/35914768,scribbles,31,,FALSE,Corymbia,35914768,0
Corymbia torelliana,2019-11-22 08:47:00 +1000,,"Southedge-Wangetti Road, Mount Molloy QLD 4871, Australia",-16.736817,145.478945,,https://www.inaturalist.org/observations/35942850,nawocnai,50,,FALSE,Corymbia,35942850,0
Corymbia maculata,2019-11-14 15:04:05 +1100,,"Mimosa Rocks, Mimosa Rocks National Park, AU-NS-BV, AU-NS, AU",-36.68864094,149.9899668,,https://www.inaturalist.org/observations/35999201,c_t_troup,5,,FALSE,Corymbia,35999201,0
Corymbia calophylla,2019-12-08 09:11:25 +0800,,"Luyer Avenue, East Cannington, WA, AU",-32.00133056,115.9627083,,https://www.inaturalist.org/observations/36457895,sdjbrown,NA,,FALSE,Corymbia,36457895,0
Corymbia calophylla,2019-12-14 19:05:00 +0800,,"Porongurup, WA, AU",-34.65097833,117.9355167,,https://www.inaturalist.org/observations/36641257,npk,11,,FALSE,Corymbia,36641257,0
Corymbia citriodora,2019-12-14 16:45:00 +1000,4431/2 Queensland Naturalists' Club outing. Corymbia citriodora subsp variegata,"Jimboomba QLD 4280, Australia",-27.823,152.992,,https://www.inaturalist.org/observations/36690562,nyoni-pete,200,,FALSE,Corymbia,36690562,0
Corymbia torelliana,2019-12-14 17:11:00 +1000,4453/4 Queensland Naturalists' Club outing.,"Jimboomba QLD 4280, Australia",-27.823,152.992,,https://www.inaturalist.org/observations/36690999,nyoni-pete,200,,FALSE,Corymbia,36690999,0
Corymbia citriodora,2019-12-12 05:50:04 +1000,Includes the signage on the track indicating the the trees were lemon scented gums. I couldn’t reach the leaves of this tree however I did find a smaller tree later in the same area with lower leaves and they had a distinctly lemon scent.,"Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07280833,150.8896467,,https://www.inaturalist.org/observations/36697628,elawrey,NA,,FALSE,Corymbia,36697628,0
Corymbia citriodora,2019-12-12 06:24:27 +1000,,"Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07521117,150.8954617,,https://www.inaturalist.org/observations/36697722,elawrey,NA,,FALSE,Corymbia,36697722,0
Corymbia citriodora,2019-12-12 07:25:35 +1000,"Didn’t smell the leaves of this plant, but did smell leaves of one near by. It had a lemony smell. ","Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.075225,150.89778,,https://www.inaturalist.org/observations/36773536,elawrey,NA,,FALSE,Corymbia,36773536,0
Corymbia citriodora,2019-12-12 07:40:16 +1000,"Couldn’t get at the leaves, however I did smell some from a smaller tree nearby and it had a lemony smell.","Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.0732195,150.8910833,,https://www.inaturalist.org/observations/36806851,elawrey,NA,,FALSE,Corymbia,36806851,0
Corymbia citriodora,2019-12-12 07:42:38 +1000,Leaves smelt quite lemony.,"Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07288617,150.8905333,,https://www.inaturalist.org/observations/36806910,elawrey,NA,,FALSE,Corymbia,36806910,0
Corymbia citriodora,2019-12-12 07:44:23 +1000,"The sign was on the side of the track near the trees. I couldn’t get the leaves off this tree, but I did smell one nearby and it was lemony.","Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07269167,150.88977,,https://www.inaturalist.org/observations/36819236,elawrey,NA,,FALSE,Corymbia,36819236,0
Corymbia intermedia,2019-12-12 07:47:33 +1000,Classification based nearby sign (see sign photo).,"Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07377217,150.88893,,https://www.inaturalist.org/observations/36819249,elawrey,NA,,FALSE,Corymbia,36819249,0
Corymbia tessellaris,2019-12-12 11:56:23 +1000,,"Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07707783,150.8860783,,https://www.inaturalist.org/observations/36848471,elawrey,NA,,FALSE,Corymbia,36848471,0
Corymbia tessellaris,2019-12-22 17:29:00 -1000,,"Brisbane QLD, Australia",-27.56618333,152.9912722,,https://www.inaturalist.org/observations/36851420,gregtasney,5,,FALSE,Corymbia,36851420,0
Corymbia citriodora,2019-12-23 17:38:00 -1000,,"Salisbury, Queensland, Australia",-27.54017222,153.0381917,,https://www.inaturalist.org/observations/36879558,gregtasney,10,,FALSE,Corymbia,36879558,0
Corymbia citriodora,2019-12-13 06:16:44 +1000,,"Keppel Bay Islands National Park, The Keppels, QLD, AU",-23.07111383,150.8938,,https://www.inaturalist.org/observations/36935810,elawrey,NA,,FALSE,Corymbia,36935810,0
Corymbia tessellaris,2020-01-05 09:41:08 +1100,,"Kuranda, QLD, AU",-16.79859667,145.54767,,https://www.inaturalist.org/observations/37287386,edward137,65,,FALSE,Corymbia,37287386,0
Corymbia dallachiana,2019-08-03 13:14:00 +1000,6639/41/2  Id from nearby label.,"Barcaldine Botanical Walk, Patrick QLD 4725, Australia",-23.637,145.282,,https://www.inaturalist.org/observations/37392158,nyoni-pete,500,,FALSE,Corymbia,37392158,0
Corymbia calophylla,2020-01-09 10:01:20 +0800,,"Beelu National Park, Piesse Brook, WA, AU",-31.947255,116.0616083,,https://www.inaturalist.org/observations/37417008,iandeas,17,,FALSE,Corymbia,37417008,0
Corymbia maculata,2020-01-12 11:48:30 +1100,,"Angophora Reserve, Avalon, NSW, AU",-33.63838431,151.3187133,,https://www.inaturalist.org/observations/37518802,holi1,5,,FALSE,Corymbia,37518802,0
Corymbia terminalis,2019-08-16 16:16:00 +1000,8660/1/2 from the list of plants on the nature trail,"Windorah Nature Trail, Windorah QLD 4481, Australia",-25.4043986,142.7030802,,https://www.inaturalist.org/observations/37606957,nyoni-pete,5000,,FALSE,Corymbia,37606957,0
Corymbia aparrerinja,2019-08-16 16:35:00 +1000,"8674/5, Ph 2245,  perhaps this species, in the list for the nature trail,  ""Ghost Gum"" is given as Corymbia terminalis, and that is certainly wrong.","Windorah Nature Trail, Windorah QLD 4481, Australia",-25.4043986,142.7030802,,https://www.inaturalist.org/observations/37607277,nyoni-pete,5000,,FALSE,Corymbia,37607277,0
Corymbia maculata,2020-01-15 16:33:00 +1100,,"New South Wales, AU",-30.69972673,152.9289953,,https://www.inaturalist.org/observations/37609281,ratite,4,obscured,FALSE,Corymbia,37609281,0
Corymbia intermedia,2020-01-22 13:20:26 +1000,,"Jacaranda Avenue, Logan Central, QLD, AU",-27.64429476,153.1038774,,https://www.inaturalist.org/observations/37833509,bec10,16,,FALSE,Corymbia,37833509,0
Corymbia calophylla,2020-01-23 15:13:24 +0800,,"Valley Road, Yallingup, WA, AU",-33.644825,115.0297,,https://www.inaturalist.org/observations/37867856,markedwardrodrigues,5,,FALSE,Corymbia,37867856,0
Corymbia tessellaris,2020-01-20 08:48:16 +1000,,"James Cook University, Douglas, QLD, AU",-19.32549667,146.761505,,https://www.inaturalist.org/observations/37869360,elawrey,5,,FALSE,Corymbia,37869360,0
Corymbia calophylla,2020-01-24 12:38:49 +0800,,"Quininup Road, Yallingup, WA, AU",-33.72193,115.0312362,,https://www.inaturalist.org/observations/37920705,markedwardrodrigues,20,,FALSE,Corymbia,37920705,0
Corymbia citriodora subs,2020-01-27 08:36:00 +1000,5524/5,"Berrinba Wetlands, Brisbane QLD, Australia",-27.6637589,153.0763689,,https://www.inaturalist.org/observations/38017277,nyoni-pete,1000,,FALSE,Corymbia,38017277,0
Corymbia tessellaris,2012-06-17 10:07:00 +1000,,"Gladstone QLD, Australia",-23.87300603,151.2391627,,https://www.inaturalist.org/observations/38055981,lindsayb3,4,,FALSE,Corymbia,38055981,0
Corymbia henryi,2020-01-07 18:04:53 +1100,Seedling in margin of dam. Adjacent forest suffered high intensity burn,"Ellangowan NSW 2470, Australia",-29.0759607,153.0367537,,https://www.inaturalist.org/observations/38099966,gregsteenbeeke,NA,,FALSE,Corymbia,38099966,0
